row_id,source,date,test_name,dtype_in,dtype_out,size,num_vcores,num_dies,partition,run_type,category,vcore_mhz,start_cycle,end_cycle,total_cycles,kernel_prolog_marker,warmup_cycles,meas_vs_warmup_ratio,file_path,parsed_at
4a944d37ea977dea,pldm,2026-06-08,cast_up_fp32_fp32,fp32,fp32,1024,1,1,1,unknown,cast,1200,519,1356,837,583,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_cast_up_fp32_fp32_1024_num_vcores_1_partition_1.vcd,2026-06-08T05:39:14+00:00
02d7624dbc6363b8,pldm,2026-06-08,cast_up_fp32_fp32,fp32,fp32,1024,32,1,1,unknown,cast,1200,601,1624,1023,663,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_cast_up_fp32_fp32_1024_num_vcores_32_partition_1.vcd,2026-06-08T05:39:14+00:00
48f5a3d728830838,pldm,2026-06-08,clamp_fp32_fp32,fp32,fp32,1024,1,1,1,unknown,elementwise,1200,975,2291,1316,1055,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_clamp_fp32_fp32_1024_num_vcores_1_partition_1.vcd,2026-06-08T05:39:14+00:00
9cfb54c10489fd47,pldm,2026-06-08,clamp_fp32_fp32,fp32,fp32,1024,32,1,1,unknown,elementwise,1200,972,4187,3215,1048,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_clamp_fp32_fp32_1024_num_vcores_32_partition_1.vcd,2026-06-08T05:39:14+00:00
0844d8899b3ba6c6,pldm,2026-06-08,exp_fp32_fp32,fp32,fp32,1024,1,1,1,unknown,elementwise,1200,573,1525,952,633,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_exp_fp32_fp32_1024_num_vcores_1_partition_1.vcd,2026-06-08T05:39:14+00:00
e9fdec7675116b76,pldm,2026-06-08,exp_fp32_fp32,fp32,fp32,64,1,1,1,unknown,elementwise,1200,595,1082,487,,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_exp_fp32_fp32_64_num_vcores_1_partition_1.vcd,2026-06-08T05:39:14+00:00
91a8303cac2463e4,pldm,2026-06-08,exp_fp32_fp32,fp32,fp32,1024,16,1,1,unknown,elementwise,1200,634,2297,1663,,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_exp_fp32_fp32_1024_num_vcores_16_partition_1.vcd,2026-06-08T05:39:14+00:00
54e182294039f0dd,pldm,2026-06-08,exp_fp32_fp32,fp32,fp32,64,16,1,1,unknown,elementwise,1200,783,1471,688,,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_exp_fp32_fp32_64_num_vcores_16_partition_1.vcd,2026-06-08T05:39:14+00:00
365fdd5b0d5669bb,pldm,2026-06-08,exp_fp32_fp32,fp32,fp32,1024,32,1,1,unknown,elementwise,1200,610,3639,3029,671,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_exp_fp32_fp32_1024_num_vcores_32_partition_1.vcd,2026-06-08T05:39:14+00:00
5e9c98e5d9271f09,pldm,2026-06-08,exp_fp32_fp32,fp32,fp32,64,32,1,1,unknown,elementwise,1200,697,1382,685,,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_exp_fp32_fp32_64_num_vcores_32_partition_1.vcd,2026-06-08T05:39:14+00:00
40202e8db1852f48,pldm,2026-06-08,exp_fp32_fp32,fp32,fp32,1024,8,1,1,unknown,elementwise,1200,827,1722,895,,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_exp_fp32_fp32_1024_num_vcores_8_partition_1.vcd,2026-06-08T05:39:14+00:00
36be555fdb9bf592,pldm,2026-06-08,exp_fp32_fp32,fp32,fp32,64,8,1,1,unknown,elementwise,1200,446,992,547,,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_exp_fp32_fp32_64_num_vcores_8_partition_1.vcd,2026-06-08T05:39:14+00:00
7e67cd033ba3a25d,pldm,2026-06-08,memcpy_fp32_local_fp32,fp32,fp32,1024,1,1,1,unknown,memory,1200,570,1463,893,632,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_memcpy_fp32_local_fp32_1024_num_vcores_1_partition_1.vcd,2026-06-08T05:39:14+00:00
179374f1b9256f06,pldm,2026-06-08,memcpy_fp32_local_fp32,fp32,fp32,1024,32,1,1,unknown,memory,1200,633,1836,1203,697,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_memcpy_fp32_local_fp32_1024_num_vcores_32_partition_1.vcd,2026-06-08T05:39:14+00:00
3296b5c71b77aaf2,pldm,2026-06-08,mul_bf16_bf16,bf16,bf16,1024,1,1,1,unknown,elementwise,1200,842,1834,992,905,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_mul_bf16_bf16_1024_num_vcores_1_partition_1.vcd,2026-06-08T05:39:14+00:00
44bf31b48e7a414f,pldm,2026-06-08,mul_bf16_bf16,bf16,bf16,1024,32,1,1,unknown,elementwise,1200,710,2009,1300,772,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_mul_bf16_bf16_1024_num_vcores_32_partition_1.vcd,2026-06-08T05:39:14+00:00
fa53bec1d3cdc2e8,pldm,2026-06-08,rmsnorm_bf16_bf16,bf16,bf16,8,1,1,1,unknown,normalization,1200,1258,7350,6092,1328,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_rmsnorm_bf16_bf16_8_num_vcores_1_partition_1.vcd,2026-06-08T05:39:14+00:00
fb3546bfdca1d0aa,pldm,2026-06-08,rmsnorm_bf16_bf16,bf16,bf16,8,32,1,1,unknown,normalization,1200,1281,7396,6115,1350,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_rmsnorm_bf16_bf16_8_num_vcores_32_partition_1.vcd,2026-06-08T05:39:14+00:00
